nama_usaha,jenis,golongan,jumlah_kamar,alamat,wilayah
BIG HOTEL,Hotel Melati,Meati 3,153,Jl. Kartini Raya 64 No. 2,Jakarta Pusat
AMARIS,Hotel Melati,Melati 3,80,Jl. IR. H. Juanda No. 3,Jakarta Pusat
CLAY HOTEL,Hotel Bintang,Bintang,81,Jl. Blora No. 20 RT. 002/06,Jakarta Pusat
SAVVOYA MENTENG HOTEL,Hotel Bintang,Bintang 3,95,Menteng Square Tower C Jl. Matraman Raya No. 30E,Jakarta Pusat
HOTEL N3,Hotel Bintang,Bintang 2,42,Jl. KH. Zainul Arifin No. 57 RT. 001/03,Jakarta Pusat
TUNE HOTELS,Hotel Melati,Melati 3,168,Jl. Samanhudi No. 25,Jakarta Pusat
NEO HOTEL,Hotel Melati,Melati 3,103,Jl. Cideng Timur No. 58,Jakarta Pusat
KOSENDA,Hotel Bintang,Bintang,60,Jl. KH. Wahid Hasyim No. 127,Jakarta Pusat
GRAND MERCURE,Hotel Bintang,Bintang 4,400,Jl. Hayam Wuruk No. 36-37,Jakarta Pusat
PRIMA INDAH II,Hotel Bintang,Bintang,81,Jl. Mangga Besar Raya No. 144,Jakarta Pusat
CALIFORNIA,Hotel Melati,Melati,50,Jl. Mangga Besar Raya No. 100 B-C RT. 002/010,Jakarta Pusat
ALL SEASONS,Hotel Bintang,Bintang,150,Jl. KH. Zainul Arifin No. 5 & 7 RT.002/001,Jakarta Pusat
BLUE SKY SMART HOTEL,Hotel Bintang,Bintang ,98,Jl. AIPDA KS. Tubun No. 19 RT. 005/006,Jakarta Pusat
IBIS HOTEL SENEN JAKARTA,Hotel Bintang,Bintang 3,155,Jl. Kramat Raya No. 100 RT. 003/008,Jakarta Pusat
ALL SEASONS THAMRIN HOTEL,Hotel Bintang,Bintang ,167,Jl. Talang Betutu No. 02 / Jl. Tanjung Karang No. 06-06 A,Jakarta Pusat
SHALOM,Hotel Melati ,Melati 3,31,Jl. Kramat Pulo No. 18/A,Jakarta Pusat
FAIRMONT JAKARTA,Hotel Bintang,Bintang 5,488,Jl. Asia Afrika No. 8,Jakarta Pusat
THE HERMITAGE,Hunian Wisata,Hunian Wisata,90,Jl. Cilacap No. 1 RT. 011/005,Jakarta Pusat
ARTOTEL JAKARTA - THAMRIN,Hotel Bintang,Bintang ,107,Jl. Sunda No. 3,Jakarta Pusat
HOTEL MERCURE SABANG - JAKARTA,Hotel Bintang,Bintang ,166,Jl. KH. Agus Salim No. 11-13,Jakarta Pusat
ROYAL CITY HOTEL,Hotel Melati,Melati 3,50,Jl. Petojo VI Y II No. 4 RT. 002/06,Jakarta Pusat
KAWANUA AEROTEL,Hotel Bintang,Bintang 3,79,Jl. Cempaka Putih Timur XXIV No. 10,Jakarta Pusat
WHIZ HOTEL,Hotel Bintang ,Bintang ,133,Jl. Cikini Raya No. 6,Jakarta Pusat
HOTEL GRAND HYATT JAKARTA,Hotel Bintang ,Bintang 5,428,Jl. MH. Thamrin Kav. 28-30,Jakarta Pusat
HOLIDAY INN EXPRESS,Hotel Bintang ,Bintang ,101,Jl. Tanjung Karang No. 1 RT. 010/020,Jakarta Pusat
DOUBLE TREE BY HILTON,Hotel Bintang ,Bintang 5,253,Jl. Pegangsaan Timur No. 17,Jakarta Pusat
BEST WESTERN GRAND PALACE KEMAYORAN HOTEL,Hotel Bintang ,Bintang ,156,Jl. Benyamin Sueb A.5,Jakarta Pusat
EXITERTEL,Hotel Bintang ,Bintang ,16,Komp. Ruko Niaga Roxy Mas Blok D.V No. 8-12 Jl. KH. Hasyim Ashari 125,Jakarta Pusat
LYNT HOTEL,Hotel Melati,Melati 3,60,Jl. Cideng Timur No. 35 RT.06/06,Jakarta Pusat
HOTEL ZURI EXPRESS MANGGA DUA,Hotel Melati,Melati 3,124,Jl. Mangga Dua Dalam No. 55-56,Jakarta Pusat
G7 HOTEL,Hotel Melati,Melati 3,40,Jl. KH. Samanhudi No. 47,Jakarta Pusat
AMARIS,Hotel Melati,Melati,102,Jl. Pasar Baru Timur No. 20-21 RT. 004/03,Jakarta Pusat
HOLIDAY INN EXPRESS JIEXPO,Hotel Bintang,Bintang,243,Jl. Kawasan PRJ Kemayoran,Jakarta Pusat
OAKTREE HOTEL,Hotel Melati,Melati,84,Jl. Kebon Kacang XI No. 131 A,Jakarta Pusat
GRAN MAHAKAM,Hotel Bintang,Bintang 5,158,Jl. Mahakam I No. 6 RT. 001/07,Jakarta Selatan
THE DHARMAWANGSA,Hotel Bintang,Bintang 5,100,Jl. Brawidjaya Raya No. 39,Jakarta Selatan
AMBHARA,Hotel Bintang,Bintang 4,222,Jl. Iskandarsyah II No. 1,Jakarta Selatan
GOLDEN BOUTIQUE MELAWAI,Hotel Bintang,Bintang 3,73,Jl. Melawai VIII No. 6-8,Jakarta Selatan
AMARIS,Hotel Melati,Melati 3,56,Jl. Panglima Polim Raya No. 4,Jakarta Selatan
FORTUNE,Hotel Bintang,Bintang,50,Jl. Wijaya II Komp Graha Puri Blok F.21,Jakarta Selatan
MELAWAI,Hotel Bintang,Bintang 2,180,Jl. Melawai Raya No. 18-20,Jakarta Selatan
LOSARI BLOK. M,Hotel Melati,Melati 3,48,Jl. Panglima Polim Raya No. 3 E,Jakarta Selatan
W I N,Hotel Melati,Melati,158,Jl. Panglima Polim No. 99,Jakarta Selatan
PURI SAKURA DEWI,Hunian Wisata,Hunian Wisata,16,Jl. Wijaya XIII No. 45,Jakarta Selatan
MENARA PONDOK INDAH,Hotel Melati,Melati 3,74,Jl. Metro Pondok Indah Sektor  II Blok. SA,Jakarta Selatan
PONDOK INDAH GOLF APARTEMEN,Hunian Wisata,Hunian Wisata,410,Jl. Metro Pdk Indah Blok III B,Jakarta Selatan
KRISTAL (LE-CRISTAL),Hotel Bintang,Bintang,328,Jl. Raya Tarogong Kav. 17,Jakarta Selatan
ASRI,Hotel Melati,Melati 3,30,Jl. Ciputat Raya No. 1,Jakarta Selatan
BUKIT INDAH,Motel,Motel,72,Jl. R.A. Kartini No. 9 Lbk. Bulus,Jakarta Selatan
CILANDAK,Hunian Wisata,Hunian Wisata,48,Jl. Letjend. TB. Simatupang RT. 006/09,Jakarta Selatan
SHINJU APARTEMEN,Hunian Wisata,Hunian Wisata,50,Jl. Cilandak I No. 27-31,Jakarta Selatan
CROWNE PLAZA JAKARTA,Hotel Bintang,Bintang 5,373,Jl. Jend. Gatot Subroto Kav. 2&3,Jakarta Selatan
JW. MARRIOTT HOTEL,Hotel Bintang,Bintang 5,333,"Jl. DR. Ide Anak Agung Gde Agung Kav. E 1,2 No. 1&2",Jakarta Selatan
THE PARK LANE JAKARTA,Hotel Bintang,Bintang 5,287,Jl. Casablanca Kav. 18,Jakarta Selatan
THE RITZ CARLTON PACIFIC PLACE,Hotel Bintang,Bintang 5,63,Jl. Jend. Sudirman Kav.52-53,Jakarta Selatan
GRAND MELIA JAKARTA,Hotel Bintang,Bintang 5,404,Jl. HR. Rasuna Said Kav. X-O No. 1-4,Jakarta Selatan
KARTIKA CHANDRA,Hotel Bintang,Bintang 4,276,Jl. Jend. Gatot Subroto Kav. 17-20,Jakarta Selatan
THE RITZ CARLTON,Hotel Bintang,Bintang 5,333,Jl. DR. Ide Agung Gde Agung Kav. E No. 1,Jakarta Selatan
MANHATTAN HOTEL,Hotel Bintang,Bintang 4,255,Jl. Prof. DR. Satrio - Casablanca Kuningan,Jakarta Selatan
ASTON RASUNA RESIDENCE,Hunian Wisata,Hunian Wisata,223,Jl. HR. Rasuna Said,Jakarta Selatan
OAKWOOD PREMIER COZMO JAKARTA,Hunian Wisata,Hunian Wisata,250,Jl. Dr. Ide Anak Agung Gde Agung Blok E4.2 No. 1,Jakarta Selatan
PURI DENPASAR,Hunian Wisata,Hunian Wisata,60,Jl. Denpasar Selatan No. 1,Jakarta Selatan
HARRIS,Hotel Bintang,Bintang,172,Jl. DR. Sahardjo No. 191,Jakarta Selatan
BUMI KARSA,Hotel Bintang,Bintang 4,174,Jl. Jend. Gatot Subroto 71-73,Jakarta Selatan
TEBET SOFYAN,Hotel Bintang,Bintang 1,101,"Jl. Prof. DR. Soepomo, SH No. 23",Jakarta Selatan
TEBET RAYA,Hotel Melati,Melati 3,47,Jl. Tebet Raya No. 23,Jakarta Selatan
CIPTA  II,Hotel Bintang,Bintang 3,70,Jl. Mampang Prapatan No. 1 A,Jakarta Selatan
KEMANG ICON,Hunian Wisata,Hunian Wisata,12,Jl. Kemang Raya No. 1,Jakarta Selatan
MAHARADJA,Hotel Bintang,Bintang,200,Jl. Kap. Pierre Tendean No. 1 RT. 005/001,Jakarta Selatan
MAHARANI,Hotel Bintang,Bintang,138,Jl. Warung Buncit Raya No. 8,Jakarta Selatan
ARION SWISS-BELHOTEL KEMANG,Hotel Bintang,Bintang,94,Jl. Kemang Raya No. 7,Jakarta Selatan
PALM COURT,Hunian Wisata,Hunian Wisata,132,Jl. Jend. Gatot Subroto Kav. 26-27,Jakarta Selatan
PONDOK WISATA INDAH,Hotel Melati,Melati 2,20,Jl. Kemang Selatan VIII/C.3,Jakarta Selatan
OKTROI PLAZA  APARTEMEN,Hunian Wisata,Hunian Wisata,11,Jl. Kemang Raya Utara No. 1,Jakarta Selatan
KAISAR,Hotel Bintang,Bintang,200,Jl. PLN. Duren Tiga No. 1,Jakarta Selatan
ZULIA  CIPULIR,Hotel Melati,Melati 2,63,Jl. H.  Syatirih RT.002 Ulujami,Jakarta Selatan
HOTEL AMOS COZY,Hotel Bintang,Bintang 4,99,Jl. Melawai Raya No. 84-85,Jakarta Selatan
HOTEL ARYADUTA SEMANGGI,Hotel Bintang,Bintang 5,300,Jl. Garnisun dalam No. 8,Jakarta Selatan
PRASADA MANSION,Hunian Wisata,Hunian Wisata,168,Jl. Komando Raya No. 6,Jakarta Selatan
HOTEL GARDEN,Hotel Bintang,Bintang 3,50,Jl. Kemang Raya/Taman Kemang No. 1,Jakarta Selatan
ADITYA MANSIONS,Hunian Wisata,Hunian Wisata,64,Jl. Adityawarman Raya I No. 38 A,Jakarta Selatan
THE BELLEZZA SUITES,Hunian Wisata,Hunian Wisata,120,Jl. Letjen Soepeno Arteri Permata Hijau No. 34,Jakarta Selatan
FRASER RESIDENCE SUDIRMAN JAKARTA,Hunian Wisata,Hunian Wisata,108,Jl. Setiabudi Raya No. 9,Jakarta Selatan
SAHATI HOTEL,Hotel,Hotel,24,Jl. Taman Margasatwa No. 45,Jakarta Selatan
M. HOTEL,Hotel,Hotel,52,Jl. Melawai VI No. 27 Blok M/3 Persil No. 32,Jakarta Selatan
AMARIS,Hotel,Hotel,99,Jl. Kapten P. Tendean  No. 11 RT. 014/002,Jakarta Selatan
THE RITZ CARLTON JAKARTA PACIFIC PLACE RESIDENCES,Hunian Wisata,Hunian Wisata,201,Jl. Jend. Sudirman Kav. 52-53,Jakarta Selatan
MERCURE HOTEL,Hotel Bintang,Bintang 4,232,Jl. RA. Kartini/Jl. TB. Simatupang,Jakarta Selatan
ROYAL KUNINGAN HOTEL,Hotel Bintang,Bintang,300,Jl. Kuningan Persada Kav. 2,Jakarta Selatan
T-HOTEL,Hotel Bintang,Bintang,100,Jl. Ciputat Raya No. 11 RT.009/008,Jakarta Selatan
NEO HOTEL TENDEAN,Hotel Melati,Melati 3,95,Jl. Woltermonginsidi No. 131,Jakarta Selatan
V HOTEL,Hotel Melati,Melati,107,"Jl. Prof Dr. Soepomo, SH No. 100 RT.001/006",Jakarta Selatan
FAVE HOTEL,Hotel Bintang,Bintang 1,140,Jl. Kemang I No. 6 RT. 011/011,Jakarta Selatan
SWISS-BELL RESIDENCE,Hunian Wisata,Hunian Wisata,212,Jl. Kalibata Raya No. 22,Jakarta Selatan
JS LUWANSA HOTEL,Hotel Bintang,Bintang 5,245,Gd. PP H. Usmar Ismail Jl. HR. Rasuna Said Kav. C-22,Jakarta Selatan
THE FALATEHAN HOTEL,Hotel Bintang,Bintang,92,Jl. Falatehan Raya No. 26,Jakarta Selatan
AMARIS,Hotel Melati,Melati,153,Jl. TB. Simatupang RT/RW 001/002,Jakarta Selatan
HOTEL SOTIS,Hotel Melati,Melati 3,65,Jl. Falatehan I No. 21-22,Jakarta Selatan
NEO MELAWAI,Hotel Bintang,Bintang ,88,Jl. Panglima Polim Raya No. 15,Jakarta Selatan
FAVE HOTEL,Hotel Melati,Melati 3,101,"Jl. Melawai IV No. 3,5.7,9 & 11",Jakarta Selatan
AMARIS,Hotel Melati,Melati 3,52,Jl. Prof. Dr. Satrio Blok C.4 Kav. 11,Jakarta Selatan
ASTON AT KUNINGAN SUITES,Hunian Wisata,Hunian Wisata,92,Jl. Setiabudi Utara,Jakarta Selatan
FAVE HOTEL GATOT SUBROTO,Hotel Bintang,Bintang ,150,Jl. Kartika Chandra (D/H Komp. Tangkas Baru A9) RT. 005/002,Jakarta Selatan
POP ! HOTEL,Hotel Bintang,Bintang ,147,Jl. Prof. DR. Soepomo SH No. 29,Jakarta Selatan
GRAND KEMANG HOTEL,Hotel Bintang,Bintang 3,201,Jl. Kemang Raya No. 2H RT. 014/01,Jakarta Selatan
POP! HOTEL KEMANG,Hotel Bintang ,Bintang 1,110,Jl. Kemang Raya No. 3,Jakarta Selatan
DIRADJA HOTEL,Hotel Bintang ,Bintang ,223,Jl. Kapten P. Tendean No. 38 Rt. 003/005,Jakarta Selatan
AMARIS,Hotel Melati,Melati ,88,Jl. Prof. Dr. Soepomo SH No. 33 RT. 012/003,Jakarta Selatan
AMARIS,Hotel Melati,Melati 3,91,Jl. Raya Pasar Minggu No. 15 A,Jakarta Selatan
VERANDA,Hotel Bintang ,Bintang ,184,Jl. Kyai Maja No. 63,Jakarta Selatan
FORTUNE,Hotel Bintang,Bintang,31,Plaza 3 Pondok Indah Blok F No.1-4 Jl.TB.Simatupang,Jakarta Selatan
WIJAYA GANGNAM,Hotel Bintang,Bintang,31,Komp. Wijaya Graha Puri Blok F No. 20 Jl. Wijaya II,Jakarta Selatan
RAJA RESIDENCE,Hotel Melati,Melati,32,Jl. Raya Kebayoran Lama No. 12 C,Jakarta Selatan
RAFFLES,Hotel Bintang,Bintang,173,Ciputra World 1 Jl. Prof. Dr. Satrio Kav. 3-5,Jakarta Selatan
THE BELLEVUE RADIO DALAM,Hunian Wisata,Hunian Wisata,156,Jl. Haji Nawi No. 1,Jakarta Selatan
THE BELLEVUE RADIO DALAM,Hunian Wisata,Hunian Wisata,156,Jl. Haji Nawi No. 1,Jakarta Selatan
ASTON PRIORITY SIMATUPANG,Hotel Bintang,Bintang,250,Jl. TB. Simatupang Kav. 9,Jakarta Selatan
CIPTA HOTEL PANCORAN,Hotel Bintang,Bintang 3,109,Jl. Raya Pasar Minggu No. 19,Jakarta Selatan
D' HOTEL,Hotel Bintang,Bintang,82,Jl. Sultan Agung No. 09 RT.004/001,Jakarta Selatan
AMARIS,Hotel Melati,Melati 3,38,Jl. Panglima Polim Raya No. 101 Blok N/III RT. 006/09,Jakarta Selatan
AMARIS LA CODEFIN KEMANG,Hotel Melati,Melati,108,Jl. Kemang Raya No. 8,Jakarta Selatan
ASCOTT TOWER,Hunian Wisata,Hunian Wisata,185,Jl. Prof. Dr. Satrio Kav. 3-5,Jakarta Selatan
D' JAVU,Hotel Melati,Melati,68,Jl. Antasari Raya No. 33,Jakarta Selatan
POMELOTEL,Hotel Melati,Melati,145,Jl. Dukuh Patra Raya No. 28,Jakarta Selatan
HOTEL SARE,Hotel Bintang,Bintang,80,Jl. Sultan Hasanuddin No. 46 RT. 003/01,Jakarta Selatan
HOTEL 678,Hotel Melati,Melati 1,41,Jl. Kemang Selatan No. 125 A RT.001 / RW. 003,Jakarta Selatan
GRAND MENTENG HOTEL,Hotel Bintang,Bintang 3,100,Jl. Matraman Raya No. 21,Jakarta Timur
MEGA MATRA,Hotel Bintang,Bintang 2,180,Jl. Matraman Raya No. 115,Jakarta Timur
NEW IDOLA,Hotel Melati,Melati 2,75,Jl. Pramuka Raya No. 26,Jakarta Timur
PONDOK NIRWANA,Motel,Motel,42,Jl. MT. Haryono Kav. 26,Jakarta Timur
RAKACIA HOTEL,Hotel Melati,Melati 2,38,Jl. Pemuda No. 10,Jakarta Timur
C' ONE HOTEL PULOMAS,Motel,Motel,53,Jl. Jend. Achmad Yani RT. 003/09,Jakarta Timur
PONDOK PULO MAS,Motel,Motel,42,Jl. Pulo Mas Utara No. I,Jakarta Timur
PONDOK TIRTA SENTOSA,Motel,Motel,77,Jl. Raya Halim Perdanakusuma No. 1A,Jakarta Timur
RENSA SOFYAN,Hotel Bintang,Bintang 1,30,Jl. Raya Duren Sawit No. 108,Jakarta Timur
DELDHIA,Hotel Melati,Melati,40,Jl. Raden Inten No. 175 A,Jakarta Timur
PARK HOTEL,Hotel Bintang,Bintang,162,Jl. D.I Panjaitan Kav. 5-7,Jakarta Timur
TETANIUM SUITE WISATA APARTEMEN,Hotel,Hotel,235,"Jl. Raya Bogor KM. 26,7",Jakarta Timur
NALENDRA,Hotel Melati,Melati,27,Jl. Cipinang Besar Selatan No. 70,Jakarta Timur
SANTIKA TAMAN MINI INDONESIA INDAH,Hotel Bintang,Bintang 3,124,Jl. Pintu Masuk I TMII Indonesia Indah,Jakarta Timur
678 JAYA SENTOSA,Hotel Melati,Melati 3,31,Jl. DI Panjaitan Lingkar Cawang No. 1B,Jakarta Timur
BALAIRUNG,Hotel Bintang,Bintang,100,Jl. Matraman Raya No. 19 RT. 02/001,Jakarta Timur
ANGKASA,Hotel Bintang,Bintang 1,35,Jl. Sultan Hamengkubuwono IX KM. 25 RT. 001/001,Jakarta Timur
ZODIAK GEMINI MT. HARYONO,Hotel Melati,Melati ,45,Jl. Otista Raya No. 60 RT. 004/012,Jakarta Timur
BEST WESTERN PREMIERE THE HIVE,Hotel Bintang,Bintang 4,191,Jl. DI. Panjaitan Kav. 3-4,Jakarta Timur
FAVE HOTEL PGC,Hotel Bintang ,Bintang ,194,Jl. Mayjen Sutoyo No. 76 / Jl. Dewi Sartika RT. 001/013,Jakarta Timur
IBIS,Hotel Bintang,Bintang,240,Cawang Commercial Estate Jl. Letjend MT. Haryono No. 9,Jakarta Timur
CASABLANCA SUITES BY HORISON,Hunian Wisata,Hunian Wisata,154,Jl. Pahlawan Revolusi No. 2,Jakarta Timur
MERCURE CONVENTION CENTER ANCOL JAKARTA,Hotel Bintang,Bintang 4,444,Jl. Pantai Indah Komp. TIJA,Jakarta Utara
NOVOTEL MANGGA DUA SQUARE,Hotel Bintang,Bintang 4,362,Jl. Gunung Sahari Raya No. 1,Jakarta Utara
ALEXIS HOTEL,Hotel Bintang,Bintang 3,73,Jl. RE. Martadinata No. 1,Jakarta Utara
PONDOK PUTRI DUYUNG,Hotel Bintang,Bintang 3,130,Jl. Lodan Timur No. 7,Jakarta Utara
BI. EXECUTIVE HOTEL,Hotel Melati,Melati 3,88,Jl. RE. Martadinata No. 2,Jakarta Utara
PONDOK IMPIAN,Motel,Motel,50,Jl. RE. Martadinata No. 2,Jakarta Utara
ASTON MARINA,Hunian Wisata,Hunian Wisata,358,Jl. Lodan Raya No. 2A,Jakarta Utara
CONDOTEL GOLDEN SKY,Hotel Bintang,Bintang,75,Jl. Taman Pluit Kencana No. 48,Jakarta Utara
GRAND ASIA,Hotel Bintang,Bintang 3,198,Jl. Bandengan Selatan No. 88,Jakarta Utara
SANNO JAKARTA AIRPORT HOTEL,Hotel Bintang,Bintang 3,94,Jl. Pluit Raya Selatan No. 2,Jakarta Utara
HOTEL ATT,Hotel Melati,Melati 3,60,"Jl. T. Bagus Angke, Kp. Gusti No. 1",Jakarta Utara
PERMATA  INDAH,Hotel Melati,Melati 3,43,Jl. Taman Permata Indah II Kamp.Gusti,Jakarta Utara
PERMATA INDAH.2,Hotel Melati,Melati 3,40,Taman Permata Indah 2 Jl. Kampung Gusti Blok L-1,Jakarta Utara
TEMATIK HOTEL,Hotel Bintang,Bintang 2,73,Jl. Raya Jembatan Tiga No. 35,Jakarta Utara
GRIYA PERMAI,Motel,Motel,62,Jl. Jembatan Tiga No. 8,Jakarta Utara
PONDOK KENCANA INDAH,Motel,Motel,71,Jl. Terusan Bandengan Utara No. 93,Jakarta Utara
MITRA BAHARI,Hunian Wisata,Hunian Wisata,38,Jl. Raya Pakin No. 1,Jakarta Utara
SUMO,Hotel Bintang,Bintang,25,Jl. Boulevard Barat No. 1,Jakarta Utara
COMFORT,Hotel Bintang,Bintang,50,Plaza Kelapa Gading Blok B-86-95 Jl. Raya Boulevard,Jakarta Utara
DELTA DUTA FORTUNA,Hotel Bintang,Bintang,30,Jl. Boulevard Bukit Gdg Ry Blk D30-34,Jakarta Utara
DARIZA JAYA,Hotel Melati,Melati 3,210,Jl. Perintis Kemerdekaan No. 42,Jakarta Utara
SUMMERVILLE  APART,Hunian Wisata,Hunian Wisata,42,Jl. Kelapa Kopyor,Jakarta Utara
DANAU SUNTER,Hotel Bintang,Bintang 4,240,Jl. Danau Permai Raya Blok C.1,Jakarta Utara
PONDOK SUNTER INDAH,Motel,Motel,62,Jl. Gaya Motor 3/7 Sunter II,Jakarta Utara
d' ARCICI HOTEL,Hunian Wisata,Hunian Wisata,160,Jl. Sunter Permai Raya No. 1 A,Jakarta Utara
CEMPAKA JAYA COTTAGE,Hotel Melati,Melati 3,45,Jl. Raya Pelumpang No. 6,Jakarta Utara
CIPONDO,Hotel Melati,Melati 3,60,Jl. Kramat Jaya No. 9-11,Jakarta Utara
PULAU AYER,Hotel Bintang,Bintang 4,45,Pulau Air Besar,Jakarta Utara
GADING INDAH,Hotel Melati,Melati,24,Jl. Pegangsaan Dua No. 10,Jakarta Utara
HOTEL KING CROSS,Hotel Bintang,Bintang,27,Jl. Boulevard Bukit Gading Raya Kokan Blok E,Jakarta Utara
GOLDEN HANDS HOTEL,Hotel Bintang,Bintang,40,Jl. Bandengan Selatan No. 43,Jakarta Utara
MTR 2,Hotel Bintang,Bintang,24,Jl. Boulevard Bukit Gading Raya 18,Jakarta Utara
HARRIS KELAPA GADING,Hotel Bintang,Bintang,319,Jl. Raya Gading Indah,Jakarta Utara
TCL 1,Hotel Melati,Melati 2,20,Jl. Terusan Bandengan Utara 89.L,Jakarta Utara
TCL 2,Hotel Melati,Melati 2,18,Jl. Terusan Bandengan Utara 91.C,Jakarta Utara
M. STAR,Hotel Bintang,Bintang,42,Jl. Gunung Sahari Raya No. 2,Jakarta Utara
HOTEL TCL,Hotel Melati,Melati 2,50,Jl. Teluk Gong No. 41,Jakarta Utara
ARUNI,Hotel Melati,Melati 2,28,Jl. RE. Martadinata No. 10,Jakarta Utara
AMARIS,Hotel Melati,Melati 3,250,Jl. Gunung Sahari Raya No. 1,Jakarta Utara
COIN'S,Hotel Bintang,Bintang,80,Jl. Sunter Agung Utara Raya Blok A No. 5 B,Jakarta Utara
GOLDEN BAY,Hotel,Hotel,68,Jl. Teluk Gong Raya No. 12,Jakarta Utara
FOFIC SUITE HOTEL,Hotel Melati,Melati,40,Jl. Tongkol No. 23,Jakarta Utara
HOTEL FAVE,Hotel Bintang,Bintang 2,120,Jl. Gading Indah Raya No. 8 Blok C/32,Jakarta Utara
GRAND WHIZ,Hotel Bintang,Bintang 4,242,Jl. Bukit Gading Raya Kav. I,Jakarta Utara
WHIZ,Hotel Bintang,Bintang 3,150,Ruko INKOPAL Jl. Boulevard Barat B/18,Jakarta Utara
HARISTON,Hotel Bintang,Bintang 3,199,Jl. Terusan Bandengan Utara,Jakarta Utara
THE BnB HOTEL,Hotel Melati,Melati,171,Gedung Graha Auto Center Jl. Boulevard Bukit Gading Raya,Jakarta Utara
DISCOVERY HOTEL & CONVENTION ANCOL,Hotel Bintang,Bintang ,259,Jl. Lodan Timur Raya No. 07,Jakarta Utara
HOLIDAY INN EXPRESS PLUIT,Hotel Bintang,Bintang ,301,Mall Emporium Lt. 10 Jl. Pluit Selatan Raya No. 01 Rt.022/008,Jakarta Utara
ALL SEDAYU HOTEL,Hotel Bintang,Bintang ,162,Kelapa Gading Square Mall Of Indonesia lobby 5 Jl. Raya Boulevard Barat,Jakarta Utara
HOTEL NEO,Hotel Bintang,Bintang ,154,Rukan Mangga Dua Square Blok A No. 10-12 & 15-23 Jl. Gunung Sahari Raya No. 1,Jakarta Utara
POP ! HOTEL KELAPA GADING,Hotel Bintang,Bintang 1,266,Jl. Kelapa Gading Boulevard / Jl. Raya Mandiri Utara,Jakarta Utara
HOTEL CABIN,Hotel Melati ,Melati 3,130,Jl. Yos Sudarso Kav. 87-88,Jakarta Utara
HOLIDAY INN JAKARTA KEMAYORAN,Hotel Bintang ,Bintang ,257,Kompleks Rukan Puri Mutiara Blok D No. 107-108 Jl. Griya Utama,Jakarta Utara
IBIS STYLE HOTEL MANGGA DUA SQUARE-JAKARTA,Hotel Bintang,Bintang,210,"Mangga Dua Square 2nd Floor, P2 Jl. Gunung Sahari Raya No. 1",Jakarta Utara
SANTIKA KELAPA GADING,Hotel Bintang,Bintang,151,Jl. Raya Kelapa Nias Blok. HF 3 Sport Mall,Jakarta Utara
OZONE HOTEL,Hotel Melati,Melati 3,98,Jl. Pantai Indah Utara III PIK,Jakarta Utara
D'PRIMAHOTEL,Hotel Melati,Melati 3,54,"Jl. Gunung Sahari Raya Blok. A No. 1,2,3,26 & 27",Jakarta Utara
